date_release,title,day_release,month_release,year_release,runtime,imdb score,genre1,genre2,language1,language2
October 2 2020,Serious Men,Friday,October,2020,114,6.8,Drama,,Hindi,
November 13 2020,The Life Ahead,Friday,November,2020,95,6.8,Drama,,Italian,
December 27 2020,Death to 2020,Sunday,December,2020,70,6.8,Comedy,,English,
January 6 2021,Tony Parker: The Final Shot,Wednesday,January,2021,98,6.8,Documentary,,French,
July 15. 2016,Tony Robbins: I Am Not Your Guru,Friday,July,2016,116,6.7,Documentary,,English,
July 29 2016,Tallulah,Friday,July,2016,111,6.7,Dramedy,,English,
February 3 2017,Imperial Dreams,Friday,February,2017,87,6.7,Drama,,English,
February 7 2017,"Michael Bolton's Big, Sexy, Valentine's Day Special",Tuesday,February,2017,54,6.7,Comedy,,English,
May 20 2017,Blame!,Saturday,May,2017,106,6.7,Animation,SciFi,Japanese,
June 16 2017,CounterPunch,Friday,June,2017,91,6.7,Documentary,,English,
July 10 2019,Parchis: The Documentary,Wednesday,July,2019,106,6.7,Documentary,,Spanish,
October 18 2019,Upstarts,Friday,October,2019,112,6.7,Drama,,Hindi,
October 28 2019,Little Miss Sumo,Monday,October,2019,19,6.7,Documentary,,Japanese,
November 20 2019,"Bikram: Yogi, Guru, Predator",Wednesday,November,2019,86,6.7,Documentary,,English,
April 24 2020,Extraction,Friday,April,2020,117,6.7,Action,,English,
June 18 2020,A Whisker Away,Thursday,June,2020,104,6.7,Animation,Fantasy,Japanese,
July 10 2020,The Old Guard,Friday,July,2020,124,6.7,Fantasy,Action,English,
September 15 2020,Hope Frozen: A Quest to Live Twice,Tuesday,September,2020,80,6.7,Documentary,,English,
November 24 2020,Hillbilly Elegy,Tuesday,November,2020,117,6.7,Drama,,English,
December 3 2020,Just Another Christmas,Thursday,December,2020,101,6.7,Comedy,,Portuguese,
December 11 2020,Giving Voice,Friday,December,2020,90,6.7,Documentary,,English,
January 11 2021,"Crack: Cocaine, Corruption & Conspiracy",Monday,January,2021,89,6.7,Documentary,,English,
February 5 2021,Malcolm & Marie,Friday,February,2021,106,6.7,Romance,Drama,English,
March 3 2021,Moxie,Wednesday,March,2021,111,6.7,Drama,,English,
March 12 2021,Paper Lives,Friday,March,2021,97,6.7,Drama,,Turkish,
April 9 2021,Night in Paradise,Friday,April,2021,132,6.7,Drama,,Korean,
April 16 2021,Ajeeb Daastaans,Friday,April,2021,142,6.7,Drama,,Hindi,
April 16 2021,Arlo the Alligator Boy,Friday,April,2021,92,6.7,Comedy,Animation,English,
May 27 2021,Blue Miracle,Thursday,May,2021,95,6.7,Drama,,English,
August 19 2016,I'll Sleep When I'm Dead,Friday,August,2016,79,6.6,Documentary,,English,
June 29 2018,Recovery Boys,Friday,June,2018,89,6.6,Documentary,,English,
September 14 2018,The Angel,Friday,September,2018,114,6.6,Thriller,Spy,English,
December 7 2018,ReMastered: Who Killed Jam Master Jay?,Friday,December,2018,58,6.6,Documentary,,English,
December 7 2018,The American Meme,Friday,December,2018,98,6.6,Documentary,,English,
December 21 2018,Bird Box,Friday,December,2018,124,6.6,Thriller,,English,
June 7 2019,Elisa & Marcela,Friday,June,2019,118,6.6,Romance,Drama,Spanish,
July 31 2019,The Red Sea Diving Resort,Wednesday,July,2019,130,6.6,Thriller,Spy,English,
October 25 2019,It Takes a Lunatic,Friday,October,2019,126,6.6,Documentary,,English,
June 24 2020,Bulbbul,Wednesday,June,2020,94,6.6,Horror,,Hindi,
August 20 2020,The Crimes That Bind,Thursday,August,2020,99,6.6,Crime,Drama,Spanish,
September 4 2020,I'm Thinking of Ending Things,Friday,September,2020,134,6.6,Thriller,,English,
November 23 2020,Shawn Mendes: In Wonder,Monday,November,2020,83,6.6,Documentary,,English,
January 15 2021,What Would Sophia Loren Do?,Friday,January,2021,32,6.6,Documentary,,English,
February 5 2021,Space Sweepers,Friday,February,2021,136,6.6,SciFi,,Korean,
February 26 2021,Crazy About Her,Friday,February,2021,102,6.6,RomCom,,Spanish,
March 26 2021,Bad Trip,Friday,March,2021,86,6.6,Comedy,,English,
May 7 2021,Milestone,Friday,May,2021,98,6.6,Drama,,Hindi,
April 21 2017,Tramps,Friday,April,2017,83,6.5,RomCom,,English,
June 23 2017,Nobody Speak: Trials of the Free Press,Friday,June,2017,95,6.5,Documentary,,English,
July 28 2017,The Incredible Jessica James,Friday,July,2017,83,6.5,Comedy,,English,
September 29 2017,Gerald's Game,Friday,September,2017,103,6.5,Horror,Thriller,English,
June 15 2018,Lust Stories,Friday,June,2018,120,6.5,Drama,,Hindi,
June 15 2018,Set It Up,Friday,June,2018,105,6.5,RomCom,,English,
December 7 2018,Mowgli: Legend of the Jungle,Friday,December,2018,104,6.5,Adventure,,English,
March 21 2019,Antoine Griezmann: The Making of a Legend,Thursday,March,2019,60,6.5,Documentary,,French,
May 31 2019,Chopsticks,Friday,May,2019,100,6.5,Comedy,,Hindi,
June 14 2019,Life Overtakes Me,Friday,June,2019,40,6.5,Documentary,,English,Swedish
October 28 2019,A 3 Minute Hug,Monday,October,2019,28,6.5,Documentary,,English,Spanish
February 28 2020,All the Bright Places,Friday,February,2020,108,6.5,Romance,,English,
March 19 2020,Altered Carbon: Resleeved,Thursday,March,2020,74,6.5,Animation,SciFi,Japanese,
April 10 2020,Tigertail,Friday,April,2020,91,6.5,Drama,,English,Mandarin
June 12 2020,Da 5 Bloods,Friday,June,2020,155,6.5,War,,English,
June 24 2020,Nobody Knows I'm Here,Wednesday,June,2020,91,6.5,Drama,,Spanish,
June 26 2020,Eurovision Song Contest: The Story of Fire Saga,Friday,June,2020,123,6.5,Musical,Comedy,English,
August 28 2020,All Together Now,Friday,August,2020,93,6.5,Drama,,English,
October 30 2020,His House,Friday,October,2020,93,6.5,Thriller,,English,
November 13 2020,Jingle Jangle: A Christmas Journey,Friday,November,2020,119,6.5,Family,Musical,English,
April 7 2021,Dolly Parton: A MusiCares Tribute,Wednesday,April,2021,55,6.5,,,English,
April 17 2021,Chadwick Boseman: Portrait of an Artist,Saturday,April,2021,21,6.5,Documentary,,English,
May 7 2021,Monster,Friday,May,2021,98,6.5,Drama,,English,
May 12 2021,Oxygen,Wednesday,May,2021,101,6.5,SciFi,Thriller,French,
December 13 2014,My Own Man,Saturday,December,2014,81,6.4,Documentary,,English,
September 16 2016,ARQ,Friday,September,2016,88,6.4,SciFi,Thriller,English,
May 5 2017,The Mars Generation,Friday,May,2017,97,6.4,Documentary,,English,
September 15. 2017,Strong Island,Friday,September,2017,107,6.4,Documentary,,English,
October 20 2017,Wheelman,Friday,October,2017,82,6.4,Action,Thriller,English,
February 9 2018,When We First Met,Friday,February,2018,97,6.4,RomCom,,English,
February 16 2018,Irreplaceable You,Friday,February,2018,96,6.4,Drama,,English,
March 16 2018,Take Your Pills,Friday,March,2018,87,6.4,Documentary,,English,
March 30 2018,First Match,Friday,March,2018,102,6.4,Drama,Sport,English,
September 21 2018,Nappily Ever After,Friday,September,2018,98,6.4,Dramedy,,English,
September 28 2018,Two Catalonias,Friday,September,2018,116,6.4,Documentary,,Spanish,Catalan
March 8 2019,Walk. Ride. Rodeo.,Friday,March,2019,99,6.4,Drama,,English,
March 13 2019,Triple Frontier,Wednesday,March,2019,125,6.4,Action,Thriller,English,
September 25 2019,Birders,Wednesday,September,2019,37,6.4,Documentary,,English,Spanish
September 27 2019,Sturgill Simpson Presents: Sound & Fury,Friday,September,2019,41,6.4,Animation,Musicial,English,
October 11 2019,Fractured,Friday,October,2019,100,6.4,Thriller,,English,
October 12 2019,Street Flow,Saturday,October,2019,96,6.4,Drama,,French,
December 24 2019,Como Caído del Cielo,Tuesday,December,2019,112,6.4,Musical,,Spanish,
February 14 2020,Isi & Ossi,Friday,February,2020,113,6.4,RomCom,,German,
March 25 2020,The Occupant,Wednesday,March,2020,103,6.4,Thriller,,Spanish,
April 22 2020,The Willoughbys,Wednesday,April,2020,90,6.4,Animation,Adventure,English,
April 29 2020,Murder to Mercy: The Cyntoia Brown Story,Wednesday,April,2020,97,6.4,Documentary,,English,
August 5 2020,Anelka: Misunderstood,Wednesday,August,2020,94,6.4,Documentary,,French,
August 20 2020,John Was Trying to Contact Aliens,Thursday,August,2020,16,6.4,Documentary,,English,
October 23 2020,Over the Moon,Friday,October,2020,95,6.4,Animation,Adventure,English,
December 21 2020,"Ariana Grande: Excuse Me, I Love You",Monday,December,2020,97,6.4,Documentary,,English,
January 14 2021,The Heartbreak Club,Thursday,January,2021,101,6.4,Dramedy,,Indonesian,
February 11 2021,Layla Majnun,Thursday,February,2021,119,6.4,Romance,Drama,Indonesian,
December 9 2016,Spectral,Friday,December,2016,108,6.3,SciFi,Action,English,
March 31 2017,The Discovery,Friday,March,2017,102,6.3,SciFi,Drama,English,
April 21 2017,Sand Castle,Friday,April,2017,113,6.3,Action,,English,
June 9 2017,Shimmer Lake,Friday,June,2017,86,6.3,Crime,Thriller,English,
October 13 2017,The Babysitter,Friday,October,2017,85,6.3,Comedy,Horror,English,
October 20 2017,1922,Friday,October,2017,102,6.3,Horror,Crime,English,
December 22 2017,Bright,Friday,December,2017,117,6.3,Fantasy,,English,
March 9 2018,The Outsider,Friday,March,2018,120,6.3,Crime,Drama,English,Japanese
March 16 2018,Benji,Friday,March,2018,87,6.3,Family,,English,
April 13 2018,I Am Not an Easy Man,Friday,April,2018,98,6.3,RomCom,,French,
May 18 2018,Cargo,Friday,May,2018,104,6.3,Drama,Horror,English,
June 8 2018,Alex Strangelove,Friday,June,2018,99,6.3,RomCom,,English,
October 12 2018,Apostle,Friday,October,2018,129,6.3,Horror,Thriller,English,
December 21 2018,Porta dos Fundos: The Last Hangover,Friday,December,2018,44,6.3,Comedy,,Portuguese,
January 25 2019,Polar,Friday,January,2019,118,6.3,Action,,English,
March 29 2019,The Legend of Cocaine Island,Friday,March,2019,87,6.3,Documentary,,English,
April 19 2019,Music Teacher,Friday,April,2019,101,6.3,Drama,,Hindi,
May 22 2019,A Tale of Two Kitchens,Wednesday,May,2019,30,6.3,Documentary,,English,Spanish
August 28 2019,Travis Scott: Look Mom I Can Fly,Wednesday,August,2019,85,6.3,Documentary,,English,
October 11 2019,The Forest of Love,Friday,October,2019,151,6.3,Drama,,Japanese,
October 18 2019,The Laundromat,Friday,October,2019,98,6.3,Dramedy,,English,
March 27 2020,Uncorked,Friday,March,2020,103,6.3,Drama,,English,
April 23 2020,Time to Hunt,Thursday,April,2020,134,6.3,Thriller,,Korean,
June 19 2020,Feel the Beat,Friday,June,2020,107,6.3,Family,Dramedy,English,
November 24 2020,Notes for My Son,Tuesday,November,2020,83,6.3,Drama,,Spanish,
January 28 2021,June & Kopi,Thursday,January,2021,90,6.3,Drama,,Indonesian,
February 12 2021,To All the Boys: Always and Forever,Friday,February,2021,109,6.3,RomCom,,English,
March 18 2021,Get the Goat,Thursday,March,2021,97,6.3,Comedy,,Portuguese,
April 2 2021,Concrete Cowboy,Friday,April,2021,111,6.3,Drama,,English,
May 26 2021,Nail Bomber: Manhunt,Wednesday,May,2021,72,6.3,Documentary,,English,
April 7 2017,Win It All,Friday,April,2017,88,6.2,Comedy,,English,
December 1 2017,Voyuer,Friday,December,2017,95,6.2,Documentary,,English,
March 23 2018,Roxanne Roxanne,Friday,March,2018,98,6.2,Biography,,English,
April 27 2018,The Rachel Divide,Friday,April,2018,104,6.2,Documentary,,English,
September 14 2018,The Land of Steady Habits,Friday,September,2018,98,6.2,Drama,,English,
February 8 2019,High Flying Bird,Friday,February,2019,90,6.2,Drama,Sport,English,
April 19 2019,Someone Great,Friday,April,2019,92,6.2,RomCom,,English,
September 27 2019,In the Shadow of the Moon,Friday,September,2019,115,6.2,Thriller,,English,
March 6 2020,Spenser Confidential,Friday,March,2020,111,6.2,Action,Comedy,English,
June 19 2020,Lost Bullet,Friday,June,2020,92,6.2,Thriller,,French,
July 24 2020,Offering to the Storm,Friday,July,2020,139,6.2,Thriller,,Spanish,
August 14 2020,Octonauts & the Caves of Sac Actun,Friday,August,2020,72,6.2,Animation,,English,
August 17 2020,Crazy Awesome Teachers,Monday,August,2020,101,6.2,Dramedy,,Indonesian,
November 6 2020,Citation,Friday,November,2020,151,6.2,Drama,,English,
November 20 2020,Alien Xmas,Friday,November,2020,42,6.2,Animation,,English,
January 29 2021,Below Zero,Friday,January,2021,106,6.2,Drama,,Spanish,
April 9 2021,Have You Ever Seen Fireflies?,Friday,April,2021,114,6.2,Comedy,,Turkish,
May 26 2021,Baggio: The Divine Ponytail,Wednesday,May,2021,92,6.2,Biography,,Italian,
May 29 2015,Hot Girls Wanted,Friday,May,2015,84,6.1,Documentary,,English,
March 18 2016,Pee-wee's Big Holiday,Friday,March,2016,89,6.1,Adventure,,English,
March 10 2017,Burning Sands,Friday,March,2017,102,6.1,Drama,,English,
March 17 2017,Deidra & Laney Rob a Train,Friday,March,2017,94,6.1,Drama,,English,
March 24 2017,The Most Hated Woman in America,Friday,March,2017,92,6.1,Biography,,English,
April 28 2017,Casting JonBenet,Friday,April,2017,80,6.1,Documentary,,English,
November 10 2017,The Killer,Friday,November,2017,99,6.1,Western,,Portuguese,
